,Name,Rating,Review Count,Price,Address
206,Wild Burger,4.0,3,,"1100 Trevilian Way, Louisville, KY 40213"
207,Las Cazuelas Mexican Cuisine,4.5,78,$$,"4214 Bishop Ln, Louisville, KY 40218"
208,Bluegrass Brewing Company,3.5,378,$$,"300 W Main St, Louisville, KY 40202"
209,Taco Luchador,4.5,902,$$,"938 Baxter Ave, Louisville, KY 40204"
210,Fire Oven Pizza,4.5,55,$,"2801 Packerland Way, Ste 3, Louisville, KY 40213"
211,Main Eatery,4.5,81,$,"643 W Main St, Louisville, KY 40202"
212,Dundee Tavern,3.5,175,$$,"2224 Dundee Rd, Louisville, KY 40205"
213,Mojito in Havana,4.5,149,$$,"3939 Shelbyville Rd, Ste 103, Louisville, KY 40207"
214,Sweet Havana ,4.5,62,$,"5510 Fern Valley Rd, Ste 101, Louisville, KY 40228"
215,Yummi Yummi Sushi Restaurant,4.0,19,,"7131 Southside Dr, Louisville, KY 40214"
216,Zini Louisville,5.0,1,,"1032 Story Ave, Louisville, KY 40206"
217,Ramsi's Cafe On The World,4.0,652,$$,"1293 Bardstown Rd, Louisville, KY 40204"
218,Jamaican Jerk Center,4.5,10,,"2220 Hikes Ln, Louisville, KY 40218"
219,El Nopal Mexican Cuisine,4.5,9,,"2745 Crittenden Dr, Louisville, KY 40209"
220,The Seafood Lady,3.0,102,,"3201 Fern Valley Rd, Ste 113, Louisville, KY 40213"
221,"H.M. Franks, an O'Shea's Pub",4.5,114,$$,"355 Spring St, Jeffersonville, IN 47130"
222,Pints & Union,4.5,84,$$,"114 E Market St, New Albany, IN 47150"
223,Lucky Burrito,4.0,33,,"2118 Bardstown Rd, Louisville, KY 40205"
224,The Capital Grille,4.0,55,,"7600 Shelbyville Rd, Louisville, KY 40222"
225,Coconut Beach Tacos & Cerveza,4.0,88,$,"2787 S Floyd St, Louisville, KY 40209"
226,Sankalp Louisville,4.5,10,,"9008 Taylorsville Rd, Louisville, KY 40299"
227,Melt 502,4.0,28,$,"6318 Bardstown Rd, Louisville, KY 40291"
228,Cheezmageddon,5.0,4,,"951 E Lewis And Clark Pkwy, Clarksville, IN 47129"
229,Swampwater Jack's,4.0,1,,"937 Phillips Ln, Louisville, KY 40209"
230,Daisuki Sushi,4.5,30,,"1001 Logan St, Louisville, KY 40204"
231,Game,4.5,432,$$,"2295 Lexington Rd, Louisville, KY 40206"
232,Suburban Fish Fry,4.5,35,$,"3901 S 3rd St, Louisville, KY 40214"
233,Condado Tacos,3.5,37,$$,"7900 Shelbyville Rd, Ste G20, Louisville, KY 40222"
234,Time 4 Thai,4.0,293,$$,"2206 Frankfort Ave, Louisville, KY 40206"
235,Hooked on Frankfort,3.5,73,$$,"3200 Frankfort Ave, Louisville, KY 40206"
236,Burger Boy Diner,3.5,283,$,"1450 S Brook St, Louisville, KY 40208"
237,Silly Axe Cafe,4.5,94,$$,"1001 Logan St, Louisville, KY 40205"
238,Kum's Cafe & Arirang,4.5,96,$$,"4544 Poplar Level Rd, Louisville, KY 40213"
239,Dragon King's Daughter Osaka Snack Bar,4.0,10,$,"Louisville, KY 40201"
240,Volare Italian Ristorante,4.5,387,$$$,"2300 Frankfort Ave, Louisville, KY 40206"
241,Taco City Louisville,4.0,194,$,"1283 Bardstown Rd, Louisville, KY 40204"
242,Old Seelbach Bar,3.5,110,$$,"500 S 4th St, Louisville, KY 40202"
243,Parlour,4.0,293,$$,"131 W Chestnut St, Jeffersonville, IN 47130"
244,Black Olive Italian Grill,2.5,25,,"2745 Crittenden Dr, Louisville, KY 40209"
245,Dragon King's Daughter,4.5,277,$$,"129 W Market St, New Albany, IN 47150"
246,Grassa Gramma,4.0,410,$$$,"2210 Holiday Manor Ctr, Louisville, KY 40222"
247,Asian Pot,4.0,73,$,"2801 Packerland Way, Ste 100, Louisville, KY 40213"
248,Eatz Vietnamese Restaurant,4.5,167,$$,"2244 Frankfort Ave, Louisville, KY 40206"
249,El Mundo,4.0,380,$$,"2345 Frankfort Ave, Louisville, KY 40206"
250,Los Aztecas Mexican Restaurant ,4.0,58,$$,"445 E Market St, Ste 110, Louisville, KY 40202"
251,Torino's Sandwich Bar,4.0,39,$$,"821 E Market St, Ste 101, Louisville, KY 40206"
252,The Café,4.0,503,$$,"731 Brent St, Ste 102, Louisville, KY 40204"
253,8UP Elevated Drinkery & Kitchen,3.0,474,$$,"350 W Chestnut St, Louisville, KY 40202"
254,Papucho's,5.0,3,,"246 Spring St, G, Jeffersonville, IN 47130"
